Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,4.5,29.8,0.099455405,0.00364776,0.08127312,0.014534525,38928000.0
Albania,22.3,6.2,0.400035236,0.011768851,0.23146582100000002,0.156800564,2838000.0
Algeria,26.6,3.9,0.108785536,0.00363415,0.076734225,0.028417161,44357000.0
Angola,6.8,25.0,0.010417563000000001,0.000412029,0.004000369,0.006005166,32522000.0
Antigua and Barbuda,19.1,11.382530120481928,0.09693877599999999,0.0030612240000000004,0.092857143,0.001020408,98000.0
Argentina,28.5,4.6,1.224270005,0.025017078999999998,0.9245058070000001,0.274747119,45377000.0
Armenia,20.9,4.3,1.551488498,0.030987821000000002,1.409303112,0.111197564,2956000.0
Australia,30.4,2.5,0.103642153,0.00316844,0.091104294,0.009369418000000001,25754000.0
Austria,21.9,2.5,0.371987884,0.008481041,0.30020193,0.063304914,8914000.0
Azerbaijan,19.9,2.5,0.379174911,0.005559953,0.35373961200000004,0.019875346000000002,10108000.0
Bahamas,32.1,11.382530120481928,0.745038168,0.017048346000000002,0.33562341,0.3923664120000001,393000.0
Bangladesh,3.4,14.7,0.19876449399999999,0.0027872490000000003,0.141713926,0.054263319000000004,169809000.0
Barbados,24.8,3.9,0.063066202,0.002439024,0.05714285700000001,0.003484321,287000.0
Belarus,26.6,2.5,0.7911786670000001,0.008,0.774229333,0.008949333,9375000.0
Belgium,24.5,2.5,0.8115935740000001,0.086191924,0.162596613,0.5628050370000001,11515000.0
Belize,22.4,2.5,0.35322195700000003,0.004534606,0.117422434,0.23126491600000001,419000.0
Benin,8.2,10.1,0.018568269,0.000327627,0.015906299,0.002334344,12209000.0
Bolivia,18.7,17.1,1.089925213,0.063130749,0.72454225,0.30225221399999996,11633000.0
Bosnia and Herzegovina,19.4,2.5,0.7151782990000001,0.021213045,0.488814386,0.20515086899999999,3281000.0
Botswana,16.1,26.4,0.09719464800000001,0.000431593,0.023564955,0.073198101,2317000.0
Brazil,22.3,2.5,2.044480483,0.062142372,1.7577880380000002,0.22455007300000002,211812000.0
Bulgaria,27.4,3.6,0.258668976,0.01039411,0.184307781,0.063967085,6927000.0
Burkina Faso,4.5,20.0,0.008166292,0.000267904,0.005429843,0.002468545,20903000.0
Cabo Verde,10.6,12.6,0.8656474820000001,0.007913669,0.740827338,0.116906475,556000.0
Cambodia,3.5,16.4,0.001774537,0.0,0.0017680839999999996,6.45e-06,15497000.0
Cameroon,9.5,9.9,0.07582149,0.0015602679999999999,0.070821114,0.003440108,26598000.0
Canada,31.3,2.5,0.36302697,0.024142446,0.320151872,0.018732653000000002,38190000.0
Central African Republic,6.3,59.6,0.09832298099999999,0.001283644,0.037784679,0.059254657999999995,4830000.0
Chad,4.8,37.5,0.006422941999999999,0.00047401800000000004,0.00555786,0.000391065,16877000.0
Chile,28.8,2.7,2.2329121730000003,0.061371340999999996,2.086933744,0.08460708800000001,19470000.0
China,6.6,8.5,0.006431686,0.000337568,0.006067235,2.6899999999999997e-05,1402385000.0
Colombia,22.1,4.8,1.448748079,0.046363562999999997,1.212250222,0.190134293,49444000.0
Congo,8.4,40.3,0.27760058,0.006379123,0.247245379,0.023976077999999998,5518000.0
Costa Rica,25.7,4.8,1.084993152,0.011543728999999999,0.40946977100000004,0.663979652,5111000.0
Cote d'Ivoire,9.0,19.0,0.072638013,0.0004584530000000001,0.069195798,0.002983763,26175000.0
Croatia,27.1,2.5,0.336641791,0.005572139,0.271119403,0.059950249000000004,4020000.0
Cuba,26.7,2.5,0.041521142000000004,0.000957362,0.034837337,0.005726443,11281000.0
Cyprus,22.6,5.6,0.126429163,0.0018227010000000001,0.10613090300000001,0.018475559,1207000.0
Czechia,28.5,2.5,0.337700635,0.0042553190000000005,0.198712206,0.13473310900000002,10716000.0
Denmark,21.3,2.5,0.34872190799999997,0.010825184,0.287476411,0.050420312,5829000.0
Djibouti,12.2,18.9,0.546052632,0.006174089000000001,0.539473684,0.000404858,988000.0
Dominica,28.2,6.2,0.033333333,0.0,0.025,0.008333333,72000.0
Dominican Republic,26.9,9.5,0.987238095,0.018742856999999998,0.735066667,0.233428571,10500000.0
Ecuador,19.3,7.9,0.6772542970000001,0.06226372,0.554297299,0.060693279,17511000.0
Egypt,31.1,4.5,0.100204359,0.0056030080000000005,0.083490571,0.01111078,100803000.0
El Salvador,22.7,9.0,0.415491437,0.012112328,0.283860515,0.119518593,6481000.0
Estonia,23.8,2.9,0.201051841,0.004808415,0.169496619,0.026746807,1331000.0
Eswatini,13.5,20.6,0.459692029,0.008876812,0.383061594,0.067753623,1104000.0
Ethiopia,3.6,20.6,0.055954784,0.000881513,0.021740227999999997,0.033333043,114916000.0
Fiji,30.0,3.7,0.003571429,0.000223214,0.002678571,0.000669643,896000.0
Finland,24.9,2.5,0.155181769,0.006095135,0.135648399,0.013438235,5529000.0
France,23.2,2.5,0.620408069,0.047587002999999996,0.139274715,0.432696335,64940000.0
French Polynesia,18.645238095238085,4.2,0.0,0.0,0.0,0.0,280000.0
Gabon,13.4,10.5,0.387404751,0.002375616,0.34540564799999995,0.039623487,2231000.0
Gambia,8.7,10.2,0.14087712,0.004261481,0.071286719,0.06532892,2417000.0
Georgia,23.3,7.9,0.059946164,0.00051144,0.036850606,0.022584117999999997,3715000.0
Germany,25.7,2.5,0.314210084,0.011229292,0.279160864,0.023819927999999997,83300000.0
Ghana,9.7,5.5,0.146216973,0.000920413,0.142702668,0.002593892,31073000.0
Greece,27.4,2.5,0.12373831800000001,0.002850467,0.012588785,0.108299065,10700000.0
Grenada,20.2,25.5,0.021238938,0.0,0.021238938,0.0,113000.0
Guatemala,18.8,15.2,0.453387579,0.016367763,0.39259935799999995,0.044420457999999996,18066000.0
Guinea,6.6,16.5,0.079976115,0.0005015919999999999,0.073980892,0.005493631,12560000.0
Guinea-Bissau,8.2,28.0,0.118059159,0.002023871,0.058484691,0.057550597,1927000.0
Guyana,19.2,8.1,0.23545108,0.007115629,0.154383736,0.073951715,787000.0
Haiti,20.5,49.3,0.0744804,0.001920547,0.053670087000000005,0.018889766000000002,11403000.0
Honduras,19.4,12.9,0.687236415,0.021076642000000003,0.181194242,0.484965531,9864000.0
